plate,well-row,well-column,id_mixture,id_chemical         ,compound common name,SMILES,cherry_testname     ,cherry-error-code     ,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire_testname  ,sapphire-error-code  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus_testname     ,venus-error-code    ,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2   ,venus-doubletime   ,concentration
3239,A,2,201000000000,510,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@H](CCC(=O)O)C(=O)O,CHERRY580X384,0,1831,60382.5,0,1.71291,SAPPHIRE405X384,0,3278,54040,0,3.19873,VENUS500X384,0,4504,27836,0,3.34221,
3239,A,6,SM_JHU-4830,20844,"HEXYLRESORCINOL, 4 Hexylresorcinol",CCCCCCc1ccc(O)cc1O,CHERRY580X384,0,2010,57504,0.381945,2.61349,SAPPHIRE405X384,0,2976,59285,2.4818,3.17223,VENUS500X384,0,4152,29027,0.40261,4.013,
3239,A,7,SM_JHU-531,20113,Amitraz,CN(C=Nc1ccc(C)cc1C)C=Nc1ccc(C)cc1C,CHERRY580X384,0,2106,52013,0,1.85075,SAPPHIRE405X384,0,3134,65855.5,0.766007,2.80479,VENUS500X384,0,4490,26224,0,3.32087,
3239,A,8,SM_JHU-226,20054,ALBENDAZOLE,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CHERRY580X384,0,2209,49428,0,2.02663,SAPPHIRE405X384,0,3092,65302.5,0.924381,2.72687,VENUS500X384,0,4367,25527,0,3.28008,
3239,A,10,SM_JHU-1768,20338,"Carbon Tetrachloride, Carbon Tetrachloride, Chromasolv for HPLC",ClC(Cl)(Cl)Cl,CHERRY580X384,0,2045,49787,0,1.81967,SAPPHIRE405X384,0,3201,66908,0.988395,2.70028,VENUS500X384,0,4480,26446,0,3.26113,
3239,A,11,SM_JHU-4845,20847,"Homatropine Hydrobromide, Homatropine hydrobromide (R,S), HOMATROPINE BROMIDE",Br.CN1C2CCC1CC(C2)OC(=O)C(O)c1ccccc1,CHERRY580X384,0,2325,48859.5,0,1.89514,SAPPHIRE405X384,0,3156,66670,0.84754,2.72344,VENUS500X384,0,4459,25673.5,0,3.32486,
3239,A,12,SM_JHU-1826,20347,"CARVACROL 0.5%, Carvacrol",CC(C)c1ccc(C)c(O)c1,CHERRY580X384,0,2451,51729.5,0,2.04149,SAPPHIRE405X384,0,3132,66238,0.84281,2.75845,VENUS500X384,0,4582,26334.5,0,3.32957,
3239,A,13,SM_JHU-9060,21472,"Sennosides, SENNOSIDE A, Senna, SENNOSIDE B, Senna syrup (Sennosides 8.8mg/5mL)",OCC1OC(Oc2cccc3C(C4c5cccc(OC6OC(CO)C(O)C(O)C6O)c5C(=O)c5c(O)cc(cc45)C(O)=O)c4cc(cc(O)c4C(=O)c23)C(O)=O)C(O)C(O)C1O,CHERRY580X384,0,2038,44714,0,1.90045,SAPPHIRE405X384,0,2908,53625,0.810755,2.95916,VENUS500X384,0,4347,22039,0,3.40484,
3239,A,15,SM_JHU-10346,21637,"TOREMIFENE, Toremifene Citrate, TOREMIPHENE CITRATE",CN(C)CCOc1ccc(cc1)C(=C(CCCl)c1ccccc1)c1ccccc1,CHERRY580X384,0,2279,48729,0,2.06799,SAPPHIRE405X384,0,3111,65979.5,0.836482,2.74648,VENUS500X384,0,4565,26706,0,3.29565,
3239,A,16,SM_JHU-3038,20561,"Dichlorophen, Dichlorophene, Dichlorophen (2,2 methylene bis 4-chlorophenol)",Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,CHERRY580X384,0,1934,16928,4.48665,6.02336,SAPPHIRE405X384,0,2887,48290,8.24817,4.69341,VENUS500X384,0,3847,58990,0.425174,5.84347,
3239,A,17,SM_JHU-7826,21299,"PHYSOSTIGMINE, Eserine, Eserine sulfate, physostigmine sulfate, PHYSOSTIGMINE SALICYLATE, PHYSOSTIGMINE SULFATE, Eserine (PHYSOSTIGMINE)",CNC(=O)Oc1ccc2N(C)C3N(C)CCC3(C)c2c1,CHERRY580X384,0,2028,49064,0,1.95591,SAPPHIRE405X384,0,3124,64183,0.853888,2.76165,VENUS500X384,0,4330,23961.5,0,3.30934,
3239,A,18,SM_JHU-6771,21134,NAPHTHALENE,c1ccc2ccccc2c1,CHERRY580X384,0,2004,47066,0,1.90316,SAPPHIRE405X384,0,3147,65382,0.973232,2.68066,VENUS500X384,0,4357,26128,0,3.19634,
3239,A,22,SM_JHU-1145,20214,"Bephenium Hydroxynaphthoate, Bephenium hydroxy-naphthoate",Oc1cc2ccccc2cc1C([O-])=O.C[N+](C)(CCOc1ccccc1)Cc1ccccc1,CHERRY580X384,0,2097,51523.5,0,1.79464,SAPPHIRE405X384,0,3197,68807,0.873963,2.71722,VENUS500X384,0,4495,26594,0,3.11459,
3239,A,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2369,51772,0,1.91697,SAPPHIRE405X384,0,3213,69206,0.791715,2.73796,VENUS500X384,0,4605,26867.5,0,3.2957,
3239,A,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2600,53919.5,0,1.99126,SAPPHIRE405X384,0,3080,71621,0.773125,2.68912,VENUS500X384,0,4397,27404,0,3.18245,
3239,B,2,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2063,50077,0,1.91502,SAPPHIRE405X384,0,3111,65339.5,0.909705,2.73066,VENUS500X384,0,4526,25730,0,3.35732,
3239,B,3,SM_JHU-428,20090,"AMANTADINE, Amantadine Hydrochloride, Amantadine hydrochloride (1-Adamantanamine hydrochloride)",NC12CC3CC(CC(C3)C1)C2,CHERRY580X384,0,2179,48777,0,1.94244,SAPPHIRE405X384,0,3080,64691.5,0.852707,2.74876,VENUS500X384,0,4557,26498,0,3.29881,
3239,B,4,SM_JHU-1904,20366,"CEFPIRAMIDE, cefpiramide sodium",Cc1cc(O)c(cn1)C(=O)NC(C(=O)NC1C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O)c1ccc(O)cc1,CHERRY580X384,0,2008,49644,0,1.84085,SAPPHIRE405X384,0,3151,64457,0.751507,2.83906,VENUS500X384,0,4471,25846.5,0,3.34243,
3239,B,5,SM_JHU-428,20090,"AMANTADINE, Amantadine Hydrochloride, Amantadine hydrochloride (1-Adamantanamine hydrochloride)",NC12CC3CC(CC(C3)C1)C2,CHERRY580X384,0,2024,50139,0,1.80793,SAPPHIRE405X384,0,3125,63533,0.765819,2.92693,VENUS500X384,0,4462,25893,0,3.25874,
3239,B,6,SM_JHU-9982,21592,"Tetroquinone, Tetrahydroxy-1,4-quinone monohydrate",OC1=C(O)C(=O)C(O)=C(O)C1=O,CHERRY580X384,0,2042,50127,0,1.89036,SAPPHIRE405X384,0,3064,64721,0.865926,2.72605,VENUS500X384,0,4346,25311,0,3.29992,
3239,B,7,SM_JHU-3062,20567,"DIDANOSINE, Dideoxyinosine, Didanosine (2'-3'-dideoxyinosine)",OCC1CCC(O1)n1cnc2c(O)ncnc12,CHERRY580X384,0,2178,47885.5,0,1.90217,SAPPHIRE405X384,0,3029,63338,0.697792,2.7896,VENUS500X384,0,4324,26575,0,3.15868,
3239,B,8,SM_JHU-9033,21467,Selamectin,COC1CC(OC2C(C)C=CC=C3COC4C(=NO)C(C)=CC(C(=O)OC5CC(CC=C2C)OC2(CCC(C)C(O2)C2CCCCC2)C5)C34O)OC(C)C1O,CHERRY580X384,0,1881,45966,0,1.83132,SAPPHIRE405X384,0,3042,64176,0.88638,2.71784,VENUS500X384,0,4187,24684,0,3.23462,
3239,B,9,SM_JHU-8225,21335,PRACTOLOL,CC(C)NCC(O)COc1ccc(NC(C)=O)cc1,CHERRY580X384,0,2293,47553,0,1.93966,SAPPHIRE405X384,0,3128,64130,0.848889,2.76923,VENUS500X384,0,4455,25598,0,3.26169,
3239,B,10,SM_JHU-1914,20370,"CEFTAZIDIME, Ceftazidime pentahydrate",CC(C)(ON=C(C(=O)NC1C2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,CHERRY580X384,0,2206,47876.5,0,2.01028,SAPPHIRE405X384,0,3094,64157,0.773584,2.77064,VENUS500X384,0,4412,25152.5,0,3.32991,
3239,B,11,SM_JHU-3955,20715,FAMCICLOVIR,CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O,CHERRY580X384,0,1836,46625.5,0,1.78347,SAPPHIRE405X384,0,3134,64747,0.880031,2.74133,VENUS500X384,0,4553,25923,0,3.2888,
3239,B,12,SM_JHU-1917,20371,ceftibuten,Nc1nc(cs1)C(=CCC(O)=O)C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O,CHERRY580X384,0,2024,44648,0,1.94546,SAPPHIRE405X384,0,3104,60284,0.704775,2.89341,VENUS500X384,0,4569,26789,0,3.42534,
3239,B,13,SM_JHU-4234,20755,FLUMEQUINE,CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(O)=O,CHERRY580X384,0,1932,47511,0,1.78452,SAPPHIRE405X384,0,3074,63714.5,0.955177,2.72412,VENUS500X384,0,4445,25151.5,0,3.33234,
3239,B,14,SM_JHU-1923,20372,"CEFTIZOXIME, ceftizoxime sodium",CON=C(C(=O)NC1C2SCC=C(N2C1=O)C(O)=O)c1csc(N)n1,CHERRY580X384,0,1881,43840,0,1.76042,SAPPHIRE405X384,0,3220,63401,0.913263,2.7821,VENUS500X384,0,4457,24236,0,3.354,
3239,B,15,SM_JHU-8843,21436,RONIDAZOLE,Cn1c(COC(N)=O)ncc1N(=O)=O,CHERRY580X384,0,2029,44170,0,1.87431,SAPPHIRE405X384,0,3125,62922.5,0.898031,2.7562,VENUS500X384,0,4444,24124,0,3.38047,
3239,B,16,SM_JHU-7334,21225,"OXIDOPAMINE, OXIDOPAMINE HYDROCHLORIDE",NCCc1cc(O)c(O)cc1O,CHERRY580X384,0,1880,45731,0,1.804,SAPPHIRE405X384,0,3041,61590,0.853354,2.76357,VENUS500X384,0,4318,24427.5,0,3.35159,
3239,B,17,SM_JHU-4998,20876,"IDOXURIDINE, Idoxuridine ((+)-5-Iodo-2'-deoxyuridine)",OCC1OC(CC1O)N1C=C(I)C(=O)NC1=O,CHERRY580X384,0,1856,44904,0,1.78505,SAPPHIRE405X384,0,2974,62413.5,0.93825,2.66436,VENUS500X384,0,4125,23900,0,3.25113,
3239,B,18,SM_JHU-130,20035,ACIVICIN,NC(C1CC(Cl)=NO1)C(O)=O,CHERRY580X384,0,1748,22371,0,2.75972,SAPPHIRE405X384,0,2952,14959,0,5.55346,VENUS500X384,0,4118,18421,0,5.06808,
3239,B,19,SM_JHU-5054,20883,IMIQUIMOD,CC(C)Cn1cnc2c(N)nc3ccccc3c12,CHERRY580X384,0,1960,45372.5,0,1.8001,SAPPHIRE405X384,0,3096,63410,0.988903,2.71381,VENUS500X384,0,4286,24878.5,0,3.26465,
3239,B,20,SM_JHU-1958,20377,"Cephalothin, Cephalothin Sodium, Cephalothin sodium salt",CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(O)=O,CHERRY580X384,0,2108,47256.5,0,1.93871,SAPPHIRE405X384,0,3212,64683.5,0.901462,2.77061,VENUS500X384,0,4488,25976,0,3.24058,
3239,B,21,SM_JHU-214,20051,AKLOMIDE,NC(=O)c1ccc(cc1Cl)N(=O)=O,CHERRY580X384,0,1987,47352,0,1.86944,SAPPHIRE405X384,0,3182,65908,0.968164,2.72285,VENUS500X384,0,4451,25139.5,0,3.32089,
3239,B,22,SM_JHU-1962,20378,cephradine,CC1=C(N2C(SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O,CHERRY580X384,0,2277,48608,0,2.0434,SAPPHIRE405X384,0,3153,66692,0.925291,2.70144,VENUS500X384,0,4520,26631.5,0,3.09039,
3239,B,23,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2262,49026.5,0,1.88568,SAPPHIRE405X384,0,3144,65540.5,0.853854,2.74851,VENUS500X384,0,4584,26237.5,0,3.338,
3239,B,24,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,2070,51863.5,0,1.79614,SAPPHIRE405X384,0,3206,69273,0.862377,2.70646,VENUS500X384,0,4688,27124,0,3.30167,
3239,C,1,201000000000,1313,Dimethyl sulfoxide,CS(=O)C,CHERRY580X384,0,1952,52384,0,1.91488,SAPPHIRE405X384,0,3027,64995,0.797362,2.76614,VENUS500X384,0,4391,26200.5,0,3.30268,
3239,C,2,201000000000,978,Pyrimethamine,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,CHERRY580X384,0,2064,50559,0,1.89572,SAPPHIRE405X384,0,3123,67747,0.957311,2.84374,VENUS500X384,0,4502,18025.5,0,4.41921,
